FIPS	NAICS8	DATA
20153	11211100	14560.9800
20153	11210000	34388.0000
20153	11210003	14589.0000
20153	11212000	28.0200
20153	11210004	19799.0000
26159	11211100	1224.0000
26159	11210000	11325.0000
26159	11210003	7216.0000
26159	11212000	5992.0000
26159	11210004	4109.0000
18129	11211100	843.0000
18129	11210000	3429.0000
18129	11210003	1827.0000
18129	11212000	984.0000
18129	11210004	1602.0000
39151	11211100	3767.0000
39151	11210000	22413.0000
39151	11210003	11378.0000
39151	11212000	7611.0000
39151	11210004	11035.0000
22027	11211100	4709.0000
22027	11210000	9105.0000
22027	11210003	4709.0000
22027	11210004	4396.0000
31141	11211100	14644.0000
31141	11210000	138324.0000
31141	11210003	17256.0000
31141	11212000	2612.0000
31141	11210004	121068.0000
31139	11211100	20053.0000
31139	11210000	70779.0000
31139	11210003	20143.0000
31139	11212000	90.0000
31139	11210004	50636.0000
13085	11211100	1719.0000
13085	11210000	2848.0000
13085	11210003	1761.0000
13085	11212000	42.0000
13085	11210004	1087.0000
40063	11211100	36102.0000
40063	11210000	75870.0000
40063	11210003	36140.0000
40063	11212000	38.0000
40063	11210004	39730.0000
45075	11211100	4088.0000
45075	11210000	12670.0000
45075	11210003	6791.0000
45075	11212000	2703.0000
45075	11210004	5879.0000
05119	11211100	2640.0000
05119	11210000	4554.0000
05119	11210003	2640.0000
05119	11210004	1914.0000
12091	11211100	2065.0000
12091	11210000	3354.0000
12091	11210003	2107.0000
12091	11212000	42.0000
12091	11210004	1247.0000
37173	11211100	348.0000
37173	11210000	534.0000
37173	11210003	351.0000
37173	11212000	3.0000
37173	11210004	183.0000
41023	11211100	21085.0000
41023	11210000	35213.0000
41023	11210003	21108.0000
41023	11212000	23.0000
41023	11210004	14105.0000
48005	11211100	11524.0000
48005	11210000	19274.0000
48005	11210003	11524.0000
48005	11210004	7750.0000
48263	11211100	10448.0000
48263	11210000	17095.0000
48263	11210003	10448.0000
48263	11210004	6647.0000
13303	11211100	3080.0000
13303	11210000	8161.0000
13303	11210003	4302.0000
13303	11212000	1222.0000
13303	11210004	3859.0000
29075	11211100	16835.0000
29075	11210000	34596.0000
29075	11210003	17005.0000
29075	11212000	170.0000
29075	11210004	17591.0000
36083	11211100	2060.0000
36083	11210000	11003.0000
36083	11210003	5754.0000
36083	11212000	3694.0000
36083	11210004	5249.0000
39111	11211100	6658.0000
39111	11210000	12713.0000
39111	11210003	7373.0000
39111	11212000	715.0000
39111	11210004	5340.0000
40145	11211100	18604.0000
40145	11210000	33861.0000
40145	11210003	19041.0000
40145	11212000	437.0000
40145	11210004	14820.0000
48173	11211100	3869.9100
48173	11210000	6071.0000
48173	11210003	3875.0000
48173	11212000	5.0900
48173	11210004	2196.0000
18109	11211100	2315.0000
18109	11210000	5397.0000
18109	11210003	2690.0000
18109	11212000	375.0000
18109	11210004	2707.0000
19161	11211100	9029.0000
19161	11210000	41535.0000
19161	11210003	9470.0000
19161	11212000	441.0000
19161	11210004	32065.0000
12011	11211100	651.0000
12011	11210000	1107.0000
12011	11212000	60.5100
12011	11210004	395.4900
42121	11211100	1598.0000
42121	11210000	5461.0000
42121	11210003	3005.0000
42121	11212000	1407.0000
42121	11210004	2456.0000
48249	11211100	14496.1100
48249	11210000	36369.0000
48249	11210003	14668.0000
48249	11212000	171.8900
48249	11210004	21701.0000
48367	11211100	32776.9600
48367	11210000	72650.0000
48367	11210003	32782.0000
48367	11212000	5.0400
48367	11210004	39868.0000
17177	11211100	5715.0000
17177	11210000	43249.0000
17177	11210003	17986.0000
17177	11212000	12271.0000
17177	11210004	25263.0000
22039	11211100	9877.0000
22039	11210000	15006.0000
22039	11210003	9877.0000
22039	11210004	5129.0000
30107	11211100	23552.7300
30107	11210000	43006.0000
30107	11210003	23811.0000
30107	11212000	258.2700
30107	11210004	19195.0000
51171	11211100	15147.0000
51171	11210000	35102.0000
51171	11210003	17191.0000
51171	11212000	2044.0000
51171	11210004	17911.0000
19043	11211100	18827.0000
19043	11210000	72524.0000
19043	11210003	30749.0000
19043	11212000	11922.0000
19043	11210004	41775.0000
19097	11211100	24067.0000
19097	11210000	97463.0000
19097	11210003	28638.0000
19097	11212000	4571.0000
19097	11210004	68825.0000
28001	11211100	2117.0000
28001	11210000	3177.0000
28001	11210003	2117.0000
28001	11210004	1060.0000
30039	11211100	14256.0000
30039	11210000	19392.0000
30039	11210003	14262.0000
30039	11212000	6.0000
30039	11210004	5130.0000
37191	11211100	3993.8400
37191	11210000	8440.0000
37191	11210003	4157.0000
37191	11212000	163.1600
37191	11210004	4283.0000
20007	11211100	25190.1000
20007	11210000	63466.0000
20007	11210003	25201.0000
20007	11212000	10.9000
20007	11210004	38265.0000
36099	11211100	2215.0000
36099	11210000	25514.0000
36099	11210003	9737.0000
36099	11212000	7522.0000
36099	11210004	15777.0000
08059	11211100	1455.0000
08059	11210000	2049.0000
08059	11210003	1465.0000
08059	11212000	10.0000
08059	11210004	584.0000
17005	11211100	2585.0000
17005	11210000	9303.0000
17005	11210003	3961.0000
17005	11212000	1376.0000
17005	11210004	5342.0000
20043	11211100	4257.0000
20043	11210000	7424.0000
20043	11210003	4709.0000
20043	11212000	452.0000
20043	11210004	2715.0000
27087	11211100	2171.0000
27087	11210000	5460.0000
27087	11210003	2528.0000
27087	11212000	357.0000
27087	11210004	2932.0000
30007	11211100	12282.5200
30007	11210000	23154.0000
30007	11210003	12983.0000
30007	11212000	700.4800
30007	11210004	10171.0000
30089	11211100	10176.0000
30089	11210000	15539.0000
30089	11210003	10182.0000
30089	11212000	6.0000
30089	11210004	5357.0000
26000	11211100	103522.0000
26000	11210000	1201383.0000
26000	11210003	545554.0000
26000	11212000	442032.0000
26000	11210004	655829.0000
36113	11211100	97.6500
36113	11210000	134.0000
36113	11210004	36.3500
41061	11211100	16511.0000
41061	11210000	24573.0000
41061	11210003	16538.0000
41061	11212000	27.0000
41061	11210004	8035.0000
51107	11211100	8722.0000
51107	11210000	16480.0000
51107	11210003	8984.0000
51107	11212000	262.0000
51107	11210004	7496.0000
12073	11211100	1634.0000
12073	11210000	2523.0000
12073	11210003	1634.0000
12073	11210004	889.0000
08000	11211100	806216.0000
08000	11210000	2812306.0000
08000	11210003	975639.0000
08000	11212000	169423.0000
08000	11210004	1836667.0000
46087	11211100	16035.0000
46087	11210000	46764.0000
46087	11210003	19037.0000
46087	11212000	3002.0000
46087	11210004	27727.0000
48207	11211100	10072.0000
48207	11210000	26684.0000
48207	11210003	10072.0000
48207	11210004	16612.0000
48485	11211100	15767.0000
48485	11210000	39811.0000
48485	11210003	15767.0000
48485	11210004	24044.0000
54001	11211100	5847.0000
54001	11210000	10037.0000
54001	11210003	5861.0000
54001	11212000	14.0000
54001	11210004	4176.0000
13247	11211100	266.0000
13247	11210000	507.0000
13247	11212000	9.6300
13247	11210004	231.3700
26045	11211100	2388.0000
26045	11210000	8041.0000
26045	11210003	3756.0000
26045	11212000	1368.0000
26045	11210004	4285.0000
47155	11211100	6303.0000
47155	11210000	11105.0000
47155	11210003	6313.0000
47155	11212000	10.0000
47155	11210004	4792.0000
48003	11211100	7688.0000
48003	11210000	11405.0000
48003	11210003	7688.0000
48003	11210004	3717.0000
48389	11211100	5967.0000
48389	11210000	11270.0000
48389	11210003	5967.0000
48389	11210004	5303.0000
01083	11211100	12789.0400
01083	11210000	22027.0000
01083	11210003	12794.0000
01083	11212000	4.9600
01083	11210004	9233.0000
08025	11211100	15597.0000
08025	11210000	72158.0000
08025	11210003	15604.0000
08025	11212000	7.0000
08025	11210004	56554.0000
20175	11211100	4355.2800
20175	11210000	120806.0000
20175	11210003	8074.0000
20175	11212000	3718.7200
20175	11210004	112732.0000
05103	11211100	2693.0000
05103	11210000	3834.0000
05103	11210003	2693.0000
05103	11210004	1141.0000
13309	11211100	782.0000
13309	11210000	1314.0000
13309	11210003	782.0000
13309	11210004	532.0000
17087	11211100	5747.0000
17087	11210000	8767.0000
17087	11210003	5758.0000
17087	11212000	11.0000
17087	11210004	3009.0000
24039	11211100	242.7900
24039	11210000	518.0000
24039	11210003	305.0000
24039	11212000	62.2100
24039	11210004	213.0000
47057	11211100	12543.0000
47057	11210000	22385.0000
47057	11210003	12717.0000
47057	11212000	174.0000
47057	11210004	9668.0000
16003	11211100	9023.0700
16003	11210000	16516.0000
16003	11210003	9034.0000
16003	11212000	10.9300
16003	11210004	7482.0000
17057	11211100	13669.2800
17057	11210000	27751.0000
17057	11210003	13749.0000
17057	11212000	79.7200
